"Thank you for subscribing to our newsletter!","Thank you for subscribing to our newsletter!"
"Thank you for your subscription","Thank you for your subscription"
"Data must be posted with POST method.","Data must be posted with POST method."
"Invalid or deprecated API key.","Invalid or deprecated API key."
"No data recieved.","No data recieved."
"Posted fields do not contain a valid email address.","Posted fields do not contain a valid email address."
"No autoresponder data set.","No autoresponder data set."
"Could not deliver email.","Could not deliver email."
"Newsletter subscriptions synchronized.","Newsletter subscriptions synchronized."
