"Thank you for subscribing to our newsletter!","Aitäh, et liitusite meie uudiskirjaga!"
"Thank you for your subscription","Aitäh, et liitusite meie uudiskirjaga!"
"Data must be posted with POST method.","Viga andmete postitamisel."
"Invalid or deprecated API key.","Aegunud API võti."
"No data recieved.","Vajalikud andmed puuduvad."
"Posted fields do not contain a valid email address.","Vigane e-posti aadress!"
"No autoresponder data set.","Automaatvastaja puudub või on valesti seadistatud."
"Could not deliver email.","e-kirja saatmine ebaõnnestus!"
"Newsletter subscriptions syncronized.","Uudiskirja kontaktid sünkroniseeritud."
